Initial mixed population size: 1000. Mixed population ratio: (0.5,0.5)
==> Cycle: 1, Population ratio: (0.512,0.488)
==> Cycle: 2, Population ratio: (0.56,0.43999999999999995)
==> Cycle: 3, Population ratio: (0.568,0.43200000000000005)
==> Cycle: 4, Population ratio: (0.598,0.402)
==> Cycle: 5, Population ratio: (0.548,0.45199999999999996)
==> Cycle: 6, Population ratio: (0.464,0.536)
==> Cycle: 7, Population ratio: (0.448,0.552)
==> Cycle: 8, Population ratio: (0.47,0.53)
==> Cycle: 9, Population ratio: (0.548,0.45199999999999996)
==> Cycle: 10, Population ratio: (0.554,0.44599999999999995)
==> Cycle: 11, Population ratio: (0.564,0.43600000000000005)
==> Cycle: 12, Population ratio: (0.55,0.44999999999999996)
==> Cycle: 13, Population ratio: (0.576,0.42400000000000004)
==> Cycle: 14, Population ratio: (0.656,0.344)
==> Cycle: 15, Population ratio: (0.634,0.366)
==> Cycle: 16, Population ratio: (0.614,0.386)
==> Cycle: 17, Population ratio: (0.64,0.36)
==> Cycle: 18, Population ratio: (0.644,0.356)
==> Cycle: 19, Population ratio: (0.618,0.382)
==> Cycle: 20, Population ratio: (0.608,0.392)
==> Cycle: 21, Population ratio: (0.634,0.366)
==> Cycle: 22, Population ratio: (0.682,0.31799999999999995)
==> Cycle: 23, Population ratio: (0.672,0.32799999999999996)
==> Cycle: 24, Population ratio: (0.616,0.384)
==> Cycle: 25, Population ratio: (0.59,0.41000000000000003)
==> Cycle: 26, Population ratio: (0.642,0.358)
==> Cycle: 27, Population ratio: (0.64,0.36)
==> Cycle: 28, Population ratio: (0.64,0.36)
==> Cycle: 29, Population ratio: (0.636,0.364)
==> Cycle: 30, Population ratio: (0.646,0.354)
==> Cycle: 31, Population ratio: (0.596,0.404)
==> Cycle: 32, Population ratio: (0.652,0.348)
==> Cycle: 33, Population ratio: (0.628,0.372)
==> Cycle: 34, Population ratio: (0.664,0.33599999999999997)
==> Cycle: 35, Population ratio: (0.664,0.33599999999999997)
==> Cycle: 36, Population ratio: (0.624,0.376)
==> Cycle: 37, Population ratio: (0.612,0.388)
==> Cycle: 38, Population ratio: (0.612,0.388)
==> Cycle: 39, Population ratio: (0.576,0.42400000000000004)
==> Cycle: 40, Population ratio: (0.608,0.392)
==> Cycle: 41, Population ratio: (0.646,0.354)
==> Cycle: 42, Population ratio: (0.574,0.42600000000000005)
==> Cycle: 43, Population ratio: (0.628,0.372)
==> Cycle: 44, Population ratio: (0.634,0.366)
==> Cycle: 45, Population ratio: (0.692,0.30800000000000005)
==> Cycle: 46, Population ratio: (0.708,0.29200000000000004)
==> Cycle: 47, Population ratio: (0.708,0.29200000000000004)
